Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-P013;61.1;2026-05-22 00:01:08.837
BI-RUI-C002;61.8;2026-05-22 00:01:08.837
BI-RUI-C012;55.9;2026-05-22 00:01:08.837
BI-RUI-004;70.141;2026-05-22 00:01:08.837
BI-RUI-019;64.256;2026-05-22 00:01:08.837
BI-RUI-017;73.510;2026-05-22 00:01:08.837
BI-RUI-001;61.756;2026-05-22 00:01:30.653
BI-RUI-004;70.141;2026-05-22 00:01:30.653
BI-RUI-006;72.198;2026-05-22 00:01:30.653
BI-RUI-C008;56.2;2026-05-22 00:01:30.653
BI-RUI-P012;64.7;2026-05-22 00:01:34.357
BI-RUI-C012;49.6;2026-05-22 00:02:51.103
BI-RUI-P006;67.0;2026-05-22 00:03:02.4
BI-RUI-BR11;60.213;2026-05-22 00:03:11.12
BI-RUI-009;69.837;2026-05-22 00:03:16.81
BI-RUI-C005;55.6;2026-05-22 00:03:26.233
BI-RUI-C021;56.60;2026-05-22 00:03:36.14
BI-RUI-P014;58.4;2026-05-22 00:03:39.983
BI-RUI-C015;51.00;2026-05-22 00:03:52.61
BI-RUI-C020;60.00;2026-05-22 00:04:00.16
BI-RUI-C012;49.2;2026-05-22 00:04:01.393
BI-RUI-020;62.60;2026-05-22 00:04:59.763
BI-RUI-025;60.50;2026-05-22 00:05:09.077
BI-RUI-C012;48.5;2026-05-22 00:05:22.577
BI-RUI-C034;61.40;2026-05-22 00:05:52.77
BI-RUI-011;78.352;2026-05-22 00:06:06.43
BI-RUI-007;59.410;2026-05-22 00:06:21.413
BI-RUI-021;63.10;2026-05-22 00:06:22.04
BI-RUI-C033;52.60;2026-05-22 00:06:44.06
BI-RUI-C016;60.5;2026-05-22 00:07:25.143
BI-RUI-C013;60.7;2026-05-22 00:07:36.723
BI-RUI-C012;51.1;2026-05-22 00:07:50.88
BI-RUI-C019;22.70;2026-05-22 00:08:12.18
BI-RUI-C001;59.2;2026-05-22 00:08:18.823
BI-RUI-P010;62.5;2026-05-22 00:08:24.543
BI-RUI-P005;61.1;2026-05-22 00:08:46.093
BI-RUI-008;64.720;2026-05-22 00:08:55.08
BI-RUI-C012;54.0;2026-05-22 00:09:07.69
BI-RUI-BR15;64.20;2026-05-22 00:09:09.957
BI-RUI-010;69.922;2026-05-22 00:09:49.76
BI-RUI-005;60.849;2026-05-22 00:10:19.06
BI-RUI-C012;53.3;2026-05-22 00:10:24.077
BI-RUI-C003;52.20;2026-05-22 00:10:32.483
BI-RUI-BR6;48.851;2026-05-22 00:11:25.443
BI-RUI-C012;56.9;2026-05-22 00:11:31.4
BI-RUI-C032;52.00;2026-05-22 00:12:03.17
BI-RUI-C003;50.20;2026-05-22 00:12:03.887
BI-RUI-C012;53.1;2026-05-22 00:12:41.783
BI-RUI-C004;65.1;2026-05-22 00:13:22.87
BI-RUI-C014;51.40;2026-05-22 00:13:33.573
BI-RUI-P011;62.3;2026-05-22 00:13:35.997
BI-RUI-015;76.791;2026-05-22 00:13:56.39
BI-RUI-C012;52.9;2026-05-22 00:13:58.2
BI-RUI-C018;58.80;2026-05-22 00:14:07.17
BI-RUI-C012;52.3;2026-05-22 00:15:14.68
BI-RUI-019;64.780;2026-05-22 00:15:22.95
BI-RUI-004;70.079;2026-05-22 00:15:50.03
BI-RUI-017;74.349;2026-05-22 00:15:57.377
BI-RUI-P013;60.8;2026-05-22 00:15:57.377
BI-RUI-P009;61.0;2026-05-22 00:15:57.377
BI-RUI-001;63.395;2026-05-22 00:16:18.02
BI-RUI-006;74.167;2026-05-22 00:16:20.317
BI-RUI-C012;51.4;2026-05-22 00:16:24.38
BI-RUI-P012;65.2;2026-05-22 00:16:34.52
BI-RUI-C002;65.3;2026-05-22 00:17:22.78
BI-RUI-C012;51.4;2026-05-22 00:17:34.937
BI-RUI-C008;53.2;2026-05-22 00:17:55.8
BI-RUI-P006;67.5;2026-05-22 00:18:02.753
BI-RUI-009;74.772;2026-05-22 00:18:08.49
BI-RUI-BR11;58.881;2026-05-22 00:18:17.897
BI-RUI-P014;58.7;2026-05-22 00:18:40.227
BI-RUI-C005;55.6;2026-05-22 00:18:44.37
BI-RUI-C012;52.4;2026-05-22 00:18:46.807
BI-RUI-C021;54.20;2026-05-22 00:18:51.87
BI-RUI-C015;45.80;2026-05-22 00:19:17.17
BI-RUI-C020;59.30;2026-05-22 00:19:33.08
BI-RUI-C012;50.1;2026-05-22 00:20:04.037
BI-RUI-P007;57.3;2026-05-22 00:20:17.93
BI-RUI-025;59.40;2026-05-22 00:20:25.79
BI-RUI-020;60.90;2026-05-22 00:20:29.823
BI-RUI-C034;60.10;2026-05-22 00:21:05.687
BI-RUI-007;55.546;2026-05-22 00:21:08.983
BI-RUI-C012;55.4;2026-05-22 00:21:11.593
BI-RUI-011;68.203;2026-05-22 00:21:14.39
BI-RUI-021;61.10;2026-05-22 00:21:33.74
BI-RUI-C033;52.90;2026-05-22 00:22:06.18
BI-RUI-P002;45.5;2026-05-22 00:22:14.34
BI-RUI-C012;51.7;2026-05-22 00:22:27.027
BI-RUI-C016;55.8;2026-05-22 00:22:43.67
BI-RUI-C013;56.8;2026-05-22 00:22:59.11
BI-RUI-C001;59.3;2026-05-22 00:23:38.007
BI-RUI-C019;23.00;2026-05-22 00:23:38.477
BI-RUI-C012;49.4;2026-05-22 00:23:44.57
BI-RUI-P005;64.3;2026-05-22 00:23:46.493
BI-RUI-008;63.196;2026-05-22 00:23:55.587
BI-RUI-BR15;63.90;2026-05-22 00:24:28.513
BI-RUI-C012;54.1;2026-05-22 00:24:51.8
BI-RUI-010;71.627;2026-05-22 00:24:58.987
BI-RUI-P001;58.0;2026-05-22 00:25:01.38
BI-RUI-005;62.025;2026-05-22 00:25:12.13
BI-RUI-C012;49.2;2026-05-22 00:26:11.06
BI-RUI-BR6;47.801;2026-05-22 00:26:20.407
BI-RUI-C003;49.10;2026-05-22 00:27:11.29
BI-RUI-C032;51.80;2026-05-22 00:27:26.79
BI-RUI-C012;50.1;2026-05-22 00:27:28.823
BI-RUI-C004;72.1;2026-05-22 00:28:30.33
BI-RUI-P011;62.7;2026-05-22 00:28:36.537
BI-RUI-C012;50.1;2026-05-22 00:28:45.617
BI-RUI-015;76.768;2026-05-22 00:28:52.583
BI-RUI-C014;57.00;2026-05-22 00:28:59.96
BI-RUI-C018;57.90;2026-05-22 00:29:27.823
BI-RUI-C012;50.9;2026-05-22 00:29:57.987
BI-RUI-019;64.434;2026-05-22 00:30:22.113
BI-RUI-004;70.189;2026-05-22 00:30:48.29
BI-RUI-P009;60.9;2026-05-22 00:30:57.37
BI-RUI-C018;58.00;2026-05-22 00:31:07.497
BI-RUI-C012;50.1;2026-05-22 00:31:15.073
BI-RUI-001;66.633;2026-05-22 00:31:18.45
BI-RUI-006;72.888;2026-05-22 00:31:22.28
BI-RUI-P012;63.4;2026-05-22 00:31:34.72
BI-RUI-C012;51.6;2026-05-22 00:32:32.977
BI-RUI-C002;70.2;2026-05-22 00:32:39.633
BI-RUI-009;68.453;2026-05-22 00:33:07.45
BI-RUI-C008;51.6;2026-05-22 00:33:15.467
BI-RUI-BR11;59.062;2026-05-22 00:33:22.797
BI-RUI-P014;59.4;2026-05-22 00:33:40.597
BI-RUI-C012;51.4;2026-05-22 00:33:43.863
BI-RUI-C005;54.6;2026-05-22 00:34:06.43
BI-RUI-C021;52.90;2026-05-22 00:34:07.663
BI-RUI-C015;48.90;2026-05-22 00:34:35.103
BI-RUI-C020;59.70;2026-05-22 00:35:00.843
BI-RUI-C012;50.8;2026-05-22 00:35:12.0
BI-RUI-P007;56.8;2026-05-22 00:35:18.173
BI-RUI-025;59.00;2026-05-22 00:35:35.253
BI-RUI-020;61.30;2026-05-22 00:35:44.82
BI-RUI-011;69.878;2026-05-22 00:36:03.977
BI-RUI-007;53.383;2026-05-22 00:36:21.293
BI-RUI-C034;59.00;2026-05-22 00:36:24.95
BI-RUI-C012;50.6;2026-05-22 00:36:29.42
BI-RUI-021;63.40;2026-05-22 00:36:47.72
BI-RUI-P002;44.8;2026-05-22 00:37:14.533
BI-RUI-C033;52.50;2026-05-22 00:37:22.003
BI-RUI-C012;50.3;2026-05-22 00:37:45.32
BI-RUI-C016;54.3;2026-05-22 00:38:02.84
BI-RUI-C013;56.3;2026-05-22 00:38:21.31
BI-RUI-P010;59.9;2026-05-22 00:38:25.547
BI-RUI-P005;58.5;2026-05-22 00:38:46.923
BI-RUI-C001;59.6;2026-05-22 00:38:54.33
BI-RUI-008;63.855;2026-05-22 00:38:56.113
BI-RUI-C012;49.7;2026-05-22 00:39:02.473
BI-RUI-C019;23.80;2026-05-22 00:39:07.723
BI-RUI-010;68.915;2026-05-22 00:39:49.76
BI-RUI-BR15;63.50;2026-05-22 00:39:53.277
BI-RUI-P001;64.2;2026-05-22 00:40:01.433
BI-RUI-C012;48.6;2026-05-22 00:40:19.28
BI-RUI-005;64.960;2026-05-22 00:40:28.75
BI-RUI-BR6;51.795;2026-05-22 00:41:23.65
BI-RUI-C012;50.1;2026-05-22 00:41:26.01
BI-RUI-C003;47.50;2026-05-22 00:42:27.677
BI-RUI-C032;50.80;2026-05-22 00:42:40.88
BI-RUI-C012;51.2;2026-05-22 00:42:43.96
BI-RUI-P011;58.9;2026-05-22 00:43:37.107
BI-RUI-C004;73.1;2026-05-22 00:43:47.203
BI-RUI-015;79.616;2026-05-22 00:43:49.97
BI-RUI-C012;48.9;2026-05-22 00:44:00.8
BI-RUI-C014;46.30;2026-05-22 00:44:31.163
BI-RUI-C012;49.0;2026-05-22 00:45:16.48
BI-RUI-019;63.404;2026-05-22 00:45:21.747
BI-RUI-017;70.994;2026-05-22 00:45:33.25
BI-RUI-004;68.488;2026-05-22 00:45:40.453
BI-RUI-P013;56.3;2026-05-22 00:45:54.77
BI-RUI-P009;58.5;2026-05-22 00:45:57.927
BI-RUI-006;81.122;2026-05-22 00:46:11.16
